name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Shripad Hostel - Boys and Girls hostel in Nashik","Plot no 22,23, Bhavik Nagar, Near Kusumagraj Garden Opposite Vidya Vikas Hospital Vidya Vikas Circle, Gangapur Rd, Nashik, Maharashtra 422005, India","+91 91121 19966","shripadhostel@gmail.com",20.0114057,73.7681388,"https://shripadhostel.com/","India","Maharashtra","Nashik",0,0,"422005","Hostels","Hostels,Student dormitories,Boys' hostels,Girls' hostels,Youth Hostels","https://www.facebook.com/shripadhostels","https://www.instagram.com/shripadhostels/","","http://www.twitter.com/wix","https://wa.me/919112119966","",""
"The Hosteller Lonavala","40/4 Kunenama, near FARIYAS RESORT LONAVALA, next to Platinum Square Society, Lonavala, Maharashtra 410403, India","+91 98101 87717","contact@thehosteller.com",18.7669415,73.3917134,"https://www.thehosteller.com/hostels/the-hosteller-lonavala","India","Maharashtra","",4.7,1610,"410403","Hostels","Hostels","https://www.facebook.com/TheHosteller/","https://instagram.com/thehosteller?igshid=N2ZiY2E3YmU=","https://in.linkedin.com/company/the-hosteller-hospitality/jobs","https://twitter.com/thehosteller","https://wa.me/+919810187717","https://www.youtube.com/channel/UCt2wLLGyDNtUGvQBI20hk1g",""
"Urban Nomads Pods I Co-live & Co-work","Plot 31, SNo.31, 1, N Main Rd, Ganga Fortune Society, Liberty Phase 2, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India","+91 86260 18676","reservations@urbannomads.co.in",18.5385924,73.8981914,"https://www.urbannomads.io/","India","Maharashtra","Pune",4.4,55,"411001","Hostels","Hostels,Event venues,Coworking spaces","https://www.facebook.com/urbannomads.co.in","https://www.instagram.com/urbannomads.io","https://www.linkedin.com/company/urbannomadspune","https://twitter.com/UrbanNomads_HQ","","",""
"YMCA Hostel","19, F.S. Umerbhai Path, Agripada, Mumbai Central, Mumbai, Maharashtra 400011, India","+91 22 2307 8457","info@ymcabombay.com",19.0267979,73.0451946,"http://ymcabombay.com/","India","Maharashtra","Mumbai",4.2,235,"400011","Hostels","Hostels","https://www.facebook.com/ymcabombay/","https://www.instagram.com/ymcabombay/","https://www.linkedin.com/company/ymca-bombay/?trk=similar-pages_result-card_full-click&originalSubdomain=in","https://twitter.com/i/flow/login?redirect_after_login=%2Fymcabombay","","https://www.youtube.com/channel/UCQCkdJtohZfrSyJAUZkk2Og",""
"Dr. V.V. Patil Institute of Co-operative Management Hostel","694, Market Yard, Gultekadi, Pune, Maharashtra 411037, India","+91 20 2426 9564","info@icmpune.org",18.483285,73.868976,"http://www.icmpune.org/","India","Maharashtra","Pune",4.2,18,"411037","Hostels","Hostels,Student dormitories","https://www.facebook.com/icmpune/","https://www.instagram.com/ncct_icmpune/","","https://twitter.com/ncct_icmpune","","https://www.youtube.com/channel/UCM9_zyFRi1g3cByA2ZqRNjg",""
"Best Pg for girls, Boys in Andheri East","4V67+36H, Umanand Society, Behind Jyoti dwelling, Dr Charat Singh Colony Rd, near, J.B. Nagar, Andheri East, Mumbai, Maharashtra 400059, India","+91 91372 11889","happyhomeresidency123@gmail.com",19.1101947,72.8631078,"http://happyhomeresidency.in/","India","Maharashtra","Mumbai",4.5,67,"400059","Hostels","Hostels,Student dormitories,Serviced accommodations,Student housing centers","https://www.facebook.com/happyhomeresidencyandheri/","https://www.instagram.com/happyhomeresidency/","","https://twitter.com/itshappyhome","","https://www.youtube.com/channel/UCjX2SsxMHUa0F8rhSymyYEA",""
"goSTOPS Mumbai","A, Rawal house, 46, P D'Mello Rd, opposite Pujara Petrol Pump, Masjid Bandar East, Masjid Bandar, Mumbai, Maharashtra 400009, India","+91 74288 82828","hello@gostops.com",18.9516515,72.8410754,"https://www.gostops.com/","India","Maharashtra","Mumbai",3.9,1104,"400009","Hostels","Hostels","https://www.facebook.com/gostopsofficial","https://www.instagram.com/gostops/","","https://twitter.com/gostopsofficial","","https://www.youtube.com/stopsofficial",""
"Cabin Stay - Social Hubz","Marol Maroshi Rd, opposite Lok Center, near Chandiwala House, Christian Wadi, Marol, Andheri East, Mumbai, Maharashtra 400059, India","+91 99305 75700","infosocialhubz@gmail.com",19.1137054,72.8793144,"http://www.socialhubz.in/","India","Maharashtra","Mumbai",4.3,28,"400059","Hostels","Hostels","https://www.facebook.com/socialhubzmumbai?mibextid=ZbWKwL","https://www.instagram.com/socialhubz/?igshid=YmMyMTA2M2Y%3D","","","","",""
"Nest-Up PG (Andheri)","Indian Ocean, 803/C, Sagar City, Andheri West, Mumbai, Maharashtra 400058, India","+91 96193 63296","nestuppayingguest@gmail.com",19.1197125,72.8394051,"https://nestuppg.in/","India","Maharashtra","Mumbai",4.7,45,"400058","Hostels","Hostels,Student dormitories","https://www.facebook.com/profile.php?id=61555618524264","https://www.instagram.com/nest_up.pg?igsh=OGQ5ZDc2ODk2ZA==","","","","",""
"SOCIAL HUBZ","Marol Maroshi Rd, near Chandiwala Apartment, opp. ICICI BANK, Bori Colony, Marol, Andheri East, Mumbai, Maharashtra 400059, India","+91 99305 75745","infosocialhubz@gmail.com",19.1137697,72.8792629,"http://www.socialhubz.in/","India","Maharashtra","Mumbai",4.6,368,"400059","Hostels","Hotels,Hostels,Guest houses","https://www.facebook.com/socialhubzmumbai?mibextid=ZbWKwL","https://www.instagram.com/socialhubz/?igshid=YmMyMTA2M2Y%3D","","","","",""
